gs_name,gene_symbol,gs_exact_source
KEGG_ACUTE_MYELOID_LEUKEMIA,Stat3,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Stat5a,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Stat5b,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Tcf7,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Tcf7l1,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Tcf7l2,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Zbtb16,hsa05221
KEGG_ADHERENS_JUNCTION,Acp1,hsa04520
KEGG_ADHERENS_JUNCTION,Actb,hsa04520
KEGG_ADHERENS_JUNCTION,Actg1,hsa04520
KEGG_ADHERENS_JUNCTION,Actn1,hsa04520
KEGG_ADHERENS_JUNCTION,Actn2,hsa04520
KEGG_ADHERENS_JUNCTION,Actn3,hsa04520
KEGG_ADHERENS_JUNCTION,Actn4,hsa04520
KEGG_ADHERENS_JUNCTION,Afdn,hsa04520
KEGG_ADHERENS_JUNCTION,Baiap2,hsa04520
KEGG_ADHERENS_JUNCTION,Cdc42,hsa04520
KEGG_ADHERENS_JUNCTION,Cdh1,hsa04520
KEGG_ADHERENS_JUNCTION,Crebbp,hsa04520
KEGG_ADHERENS_JUNCTION,Csnk2a1,hsa04520
KEGG_ADHERENS_JUNCTION,Csnk2a2,hsa04520
KEGG_ADHERENS_JUNCTION,Csnk2b,hsa04520
KEGG_ADHERENS_JUNCTION,Ctnna1,hsa04520
KEGG_ADHERENS_JUNCTION,Ctnna2,hsa04520
KEGG_ADHERENS_JUNCTION,Ctnna3,hsa04520
KEGG_ADHERENS_JUNCTION,Ctnnb1,hsa04520
KEGG_ADHERENS_JUNCTION,Ctnnd1,hsa04520
KEGG_ADHERENS_JUNCTION,Egfr,hsa04520
KEGG_ADHERENS_JUNCTION,Ep300,hsa04520
KEGG_ADHERENS_JUNCTION,Erbb2,hsa04520
KEGG_ADHERENS_JUNCTION,Farp2,hsa04520
KEGG_ADHERENS_JUNCTION,Fer,hsa04520
KEGG_ADHERENS_JUNCTION,Fgfr1,hsa04520
KEGG_ADHERENS_JUNCTION,Fyn,hsa04520
KEGG_ADHERENS_JUNCTION,Igf1r,hsa04520
KEGG_ADHERENS_JUNCTION,Insr,hsa04520
KEGG_ADHERENS_JUNCTION,Iqgap1,hsa04520
KEGG_ADHERENS_JUNCTION,Lef1,hsa04520
KEGG_ADHERENS_JUNCTION,Lmo7,hsa04520
