,source,interaction,target
1,CALM3,-1,TRPC1
2,CAV1,1,TRPC1
3,DRD2,1,TRPC1
4,FKBP4,-1,TRPC1
5,MDFI,-1,TRPC1
6,ITPR2,1,TRPC1
7,MARCKS,-1,TRPC1
8,GRM1,1,TRPC1
9,STIM1,1,TRPC1
10,TRPC1,1,TRPC3
11,TRPC3,1,TRPC1
12,TRPC1,1,TRPC4
13,TRPC4,1,TRPC1
14,TRPC1,1,TRPC5
15,TRPC5,1,TRPC1
16,TRPC1,-1,TRPC6
17,TRPC1,1,PKD2
18,PKD2,1,TRPC1
19,TRPC1,1,TRPV4
20,TRPV4,1,TRPC1
21,TRPC1,-1,TRPV6
22,CALM3,-1,TRPC3
23,CASR,1,TRPC3
24,EPOR,1,TRPC3
25,HOMER1,1,TRPC3
26,ITPR1,1,TRPC3
27,ITPR3,1,TRPC3
28,ASPH,1,TRPC3
29,ORAI1,1,TRPC3
30,PRKG1,-1,TRPC3
31,RNF24,-1,TRPC3
32,SRC,1,TRPC3
33,TRPM4,-1,TRPC3
34,PKD2,1,TRPC3
35,WNK4,-1,TRPC3
36,SLC9A3R1,1,TRPC4
37,EPB41,1,TRPC4
38,RNF24,-1,TRPC4
39,CABP1,-1,TRPC5
40,NCS1,1,TRPC5
41,SESTD1,1,TRPC5
42,TRPC5,-1,TRPC6
43,CALM3,1,TRPC6
44,FYN,1,TRPC6
45,CHRM1,1,TRPC6
46,MX1,1,TRPC6
47,NPHS1,1,TRPC6
48,PRKG1,-1,TRPC6
49,NPHS2,1,TRPC6
50,RNF24,-1,TRPC6
51,SNF8,1,TRPC6
52,PKD2,1,TRPC7
53,AKAP5,1,TRPV1
54,CALM3,1,TRPV1
55,CNR1,-1,TRPV1
56,CDK5,1,TRPV1
57,FAF1,-1,TRPV1
58,GABARAP,1,TRPV1
59,KIF13B,1,TRPV1
60,PIRT,1,TRPV1
61,PRKACA,1,TRPV1
62,SRC,1,TRPV1
63,NTRK1,1,TRPV1
64,SLC50A1,1,TRPV2
65,EGFR,1,TRPV3
66,AKAP5,1,TRPV4
67,CALM3,1,TRPV4
68,FYN,1,TRPV4
69,HCK,1,TRPV4
70,ITPR3,1,TRPV4
71,ITCH,-1,TRPV4
72,LCK,1,TRPV4
73,LYN,1,TRPV4
74,MAP7,1,TRPV4
75,OS9,-1,TRPV4
76,PACSIN3,1,TRPV4
77,SRC,1,TRPV4
78,PKD2,1,TRPV4
79,YES1,1,TRPV4
80,BSPRY,-1,TRPV5
81,CALB1,1,TRPV5
82,CALM3,-1,TRPV5
83,PPIB,1,TRPV5
84,FKBP4,-1,TRPV5
85,KL,1,TRPV5
86,RAB11A,1,TRPV5
87,S100A10,1,TRPV5
88,TGM2,-1,TRPV5
89,MCOLN3,1,TRPV5
90,TRPV5,1,MCOLN3
91,TRPV6,1,TRPV5
92,TRPV5,1,TRPV6
93,CALM3,-1,TRPV6
94,PPIB,1,TRPV6
95,FYN,1,TRPV6
96,KL,1,TRPV6
97,PDZD3,1,TRPV6
98,NIPSNAP1,-1,TRPV6
99,NUMB,-1,TRPV6
100,PTPN1,-1,TRPV6
101,RAB11A,1,TRPV6
102,RGS2,-1,TRPV6
103,S100A10,1,TRPV6
104,SRC,1,TRPV6
105,NYX,1,TRPM1
106,CALM3,1,TRPM2
107,EFHC1,1,TRPM2
108,PTPN13,-1,TRPM2
109,CALM3,1,TRPM4
110,RACK1,-1,TRPM6
111,PHB2,-1,TRPM6
112,TRPM6,1,TRPM7
113,TRPM7,1,ANXA1
114,RACK1,-1,TRPM7
115,HTR1B,1,TRPM8
116,OPRM1,-1,TRPM8
117,PRKACA,-1,MCOLN1
118,MCOLN2,1,MCOLN1
119,MCOLN1,1,MCOLN2
120,MCOLN1,1,MCOLN3
121,MCOLN2,1,MCOLN3
122,PRKCSH,-1,PKD2
123,KIF3A,1,PKD2
124,PKD1,1,PKD2
125,STX5,-1,PKD2
126,PKD1,1,PKD2L1
127,PKD1L3,1,PKD2L1
128,TNNI1,-1,PKD2L1
129,TNNI3,-1,PKD2L1
130,RACK1,-1,PKD2L2
131,CASP3,-1,EIF3J
132,CASP3,-1,ITGB4
133,MAPK14,1,MAPKAPK2
134,MAPKAPK2,1,HNRNPA0
135,TIA1,-1,GADD45A
136,HNRNPD,-1,GADD45A
137,MAPKAPK2,-1,PARN
138,HNRNPA0,1,GADD45A
139,JAK2,1,EPOR
140,ESPN,1,MYO15A
141,GJB6,1,GJB2
142,GJB2,1,GJB6
143,MAPK14,-1,TIAL1
144,PARN,1,GADD45A
145,NUMB,-1,NOTCH1
146,TIAL1,-1,GADD45A
147,ZIC1,-1,ATOH1
148,MAPK14,1,ZFP36
149,HES5,-1,ATOH1
150,ATOH1,1,HES5
151,MAPKAPK2,-1,ZFP36
152,JAG2,1,NOTCH1
153,DLL1,1,NOTCH1
154,SIX1,1,LFNG
155,SIX1,1,OTX2
156,SIX1,-1,DLX5
157,SIX1,1,OTX1
158,SIX1,-1,DACH2
159,MYO7A,1,PCDH15
160,PCDH15,1,MYO7A
161,GABPA,1,TXNRD1
162,GABPA,1,TXN
163,MAPK3,1,GABPA
164,MAPK1,1,GABPA
165,TUB,1,MAPK1
166,TUB,1,MAPK3
167,PROX1,-1,GFI1
168,GFI1,1,CDKN1C
169,KEAP1,-1,GABPA
170,PROX1,-1,ATOH1
171,GATA3,1,FGF10
172,IGF2BP1,1,BTRC
173,PAX3,1,DACH2
174,DACH2,1,PAX3
175,NFAT5,1,AKR1B1
176,FOXI1,1,PAX8
177,FGF3,1,FOXI1
178,NFAT5,1,SLC6A12
179,AKT1,1,CHUK
180,NFAT5,1,SLC5A3
181,CHUK,1,NFKB1
182,PIK3R1,1,AKT1
183,CDC73,1,CPSF3
184,SYMPK,1,CSTF1
185,CASP3,1,ACIN1
186,CDKN1A,-1,CDK1
187,TP53,-1,PRC1
188,TP53,1,ATF3
189,ATM,1,TERF2
190,MYCN,1,MCM6
191,MDM2,-1,RRM2B
192,ATR,1,XPA
193,MYCN,1,MCM4
194,MYCN,1,MCM5
195,MYCN,1,MCM2
196,MYCN,1,MCM3
197,E2F1,1,CDCA4
198,KLF2,-1,CXCR4
199,IGF1,1,IGF1R
200,CCL2,1,MMP14
201,MMP14,1,MMP2
202,ABL1,1,TP73
203,PRKDC,1,ABL1
204,MYCN,1,MCM7
205,MYCN,1,MCM8
206,ARNTL,1,CRY2
207,CRY2,-1,ARNTL
208,ARNTL,1,CRY1
209,CRY1,-1,ARNTL
210,NPAS2,1,PER2
211,NPAS2,1,PER1
212,ATAD2,1,ESR1
213,ATAD2,1,E2F1
214,PRKN,-1,CCNE1
215,PCNA,1,POLI
216,PRKN,-1,SEPT5
217,PCNA,1,POLH
218,MYCN,1,TP53
219,ATAD2,1,MYC
220,ATAD2,1,AR
221,USP7,1,MDM2
222,USP7,1,MDM4
223,RELA,-1,PTEN
224,E2F4,-1,RBL1
225,RBL2,1,E2F5
226,RBL2,1,E2F4
227,RNF8,1,HIST2H2AC
228,MDC1,1,RNF8
229,PRKN,-1,RANBP2
230,PRKN,-1,PUF60
231,PRKN,-1,SNCAIP
232,DCLRE1C,1,XRCC4
233,PRKN,1,CTNNB1
234,PRKN,-1,JUN
235,PRKN,-1,HSPA1B
236,PRKN,-1,ATXN2
237,BACE2,1,APP
238,PRKN,-1,SNCA
239,BACE1,1,APP
240,XRCC4,1,PNKP
241,TP53BP1,1,HDAC4
242,ADAM10,1,APP
243,PREX2,-1,PTEN
244,PINK1,1,TRAP1
245,PTPRD,-1,STAT3
246,XRCC1,1,PNKP
247,PEBP1,1,RAF1
248,USP28,-1,FBXW7
249,CDK2,1,MYC
250,HBP1,-1,MYC
251,RPL11,-1,TRRAP
252,TRRAP,1,MYC
253,MYC,1,JAG2
254,FBXW7,-1,MYC
255,PAK1,1,PXN
256,CASP3,1,PRKDC
257,CASP3,-1,GSN
258,SMG1,1,UPF1
259,ATM,1,USP28
260,MAP2K4,1,MAPK8
261,ULK1,1,ATG13
262,ULK1,1,RB1CC1
263,MTOR,-1,ATG13
264,SH3GLB1,1,UVRAG
265,ATG13,1,RB1CC1
266,MTOR,-1,ULK2
267,BECN1,1,PIK3R4
268,TIAM1,1,RAC1
269,HRAS,1,TIAM1
270,ATG10,1,ATG12
271,MTOR,1,RPTOR
272,AKT1,-1,AKT1S1
273,DAPK1,-1,CAMKK2
274,DAPK1,-1,MAPK6
275,UVRAG,1,PIK3R4
276,ULK2,1,ATG13
277,UVRAG,1,BECN1
278,AKT1S1,-1,RPTOR
279,MTOR,-1,AKT1S1
280,ULK2,1,RB1CC1
281,ATG10,1,ATG5
282,ATG7,1,ATG3
283,HRAS,1,PLCE1
284,MAPK14,1,MAPKAPK5
285,MAPKAPK5,1,TP53
286,ATG5,1,ATG16L1
287,BNIP3,-1,BCL2
288,BNIP3,-1,BCL2L1
289,SPNS1,-1,BCL2
290,SPNS1,-1,BCL2L1
291,ATG4B,1,MAP1LC3B
292,CALM1,1,DAPK1
293,DAPK1,1,MCM3
294,SH3GLB1,1,PIK3C3
295,CAPN1,-1,BCL2
296,CAPN2,-1,BCL2
297,CAPN1,-1,BCL2L1
298,CAPN2,1,BID
299,CAPN1,1,BID
300,CASP3,-1,EIF4EBP1
301,CASP3,-1,SPTAN1
302,CASP3,-1,EIF4G1
303,CASP3,-1,BCAR1
304,CASP3,-1,EIF4G2
305,CASP3,-1,EIF4G3
306,CASP3,-1,BCL2
307,CASP2,1,CYCS
308,CASP2,1,DIABLO
309,CASP6,-1,NUMA1
310,CASP6,-1,VIM
311,CAPN2,-1,BCL2L1
312,CASP2,1,AIFM1
313,CASP2,1,RIPK1
314,CASP10,-1,RIPK1
315,CASP10,1,BID
316,TOPBP1,1,ATR
317,SGK1,1,KCNQ4
318,POU4F3,1,BDNF
319,ATOH1,1,POU4F3
320,POU4F3,1,GFI1
321,MYO15A,1,WHRN
322,SOX2,1,ATOH1
323,ATOH1,1,BARHL1
324,ADGRV1,-1,ADCY6
325,ID3,-1,ATOH1
326,ID2,-1,ATOH1
327,NOTCH1,1,PAX8
328,ID1,-1,ATOH1
329,KCNE1,1,KCNQ4
330,NOTCH1,-1,FOXI2
331,WNT1,-1,FOXI2
332,E2F1,1,BRCA1
333,TIRAP,1,MYD88
334,SIX1,1,PAX2
335,SIX1,-1,EYA1
336,FOXI1,1,SIX1
337,PDPK1,1,PRKCG
338,PDK1,1,PRKCG
339,JAG1,1,CDKN1B
340,E2F1,1,EZH2
341,E2F2,1,CCNB1
342,WNT1,1,JAG1
343,WNT1,1,NOTCH1
344,NOTCH1,1,WNT1
345,NOTCH1,-1,ATOH1
346,WNT1,1,DLX5
347,POU4F3,1,NTF3
348,NOTCH1,1,HES5
349,NOTCH1,1,SOX2
350,NOTCH1,1,BMP4
351,MYC,1,NME1
352,RALB,1,RALBP1
353,RALGDS,1,RALA
354,RALBP1,-1,CDC42
355,RALBP1,-1,RAC1
356,WNT1,1,GBX2
357,WNT1,1,PAX2
358,WNT1,1,PAX8
359,WNT1,1,HES1
360,JAG1,1,NOTCH1
361,NOTCH1,1,HES1
362,WNT1,1,SOX9
363,KIT,1,GRB2
364,SIX1,1,BMP4
365,SIX1,1,FGF10
366,SIX1,1,FGF3
367,EYA1,1,FGF3
368,KCNQ4,1,SLC26A5
369,PRKACG,1,KCNQ4
370,SIX1,1,GATA3
371,IKBKE,1,IRF7
372,ERBB2,1,GRB2
373,E2F1,1,PCNA
374,AKT2,-1,CDKN1A
375,AKT1,-1,CDKN1B
376,VDR,1,CASP3
377,RAD18,1,RAD51C
378,PRKCG,1,RAF1
379,SFRP1,1,WNT4
380,SFRP2,-1,WNT1
381,MAB21L1,1,FOXE3
382,PAX6,1,CDH2
383,PAX6,1,SHROOM3
384,SFRP1,-1,WNT2
385,SFRP1,1,WNT1
386,PKNOX1,1,PAX6
387,PAX6,1,SFRP2
388,PAX6,1,SFRP1
389,PAX6,1,FN1
390,PAX6,1,MAB21L1
391,BIRC2,-1,CASP3
392,CASP2,1,BID
393,CASP3,1,CASP2
394,BBC3,-1,MCL1
395,MCL1,-1,BAK1
396,BIRC6,-1,CASP9
397,PMAIP1,-1,GMCL1
398,MCL1,-1,BCL2L11
399,CDH1,1,ARPC1B
400,MTOR,-1,ULK1
401,RHEB,1,MTOR
402,TSC2,-1,RHEB
403,TSC2,1,TSC1
404,ATG7,1,MAP1LC3B
405,RHOA,1,DIAPH1
406,AKT1,-1,TSC2
407,PMAIP1,-1,MCL1
408,RHOA,1,ROCK2
409,ATG7,1,ATG10
410,ATG7,1,ATG12
411,ATG12,1,ATG5
412,ATG3,1,MAP1LC3B
413,CAMKK2,1,PRKAG1
414,FOXO1,1,NOXA1
415,E2F6,-1,RBBP8
416,CASP3,-1,NUMA1
417,BCL2L2,-1,BIK
418,DYNLL1,-1,BCL2L11
419,CFLAR,-1,CASP10
420,CASP7,-1,VIM
421,CASP7,-1,TNFRSF1A
422,CASP7,-1,ITGB4
423,CASP3,-1,VIM
424,CASP8,1,CASP3
425,CASP10,1,CASP3
426,CASP3,-1,PXN
427,PPP1CA,1,BAD
428,CASP3,-1,PTK2
429,BCL2L11,-1,BCL2A1
430,BCL2L1,-1,APAF1
431,BCL2L11,1,VDAC1
432,BCL2L1,-1,VDAC1
433,BAK1,1,VDAC1
434,BAX,1,VDAC1
435,DAPK1,1,TP53
436,CDKN2A,-1,BCL2L1
437,SMAD2,1,DAPK1
438,UNC5B,1,PPP2R3B
439,RHEB,1,MLST8
440,ATG101,1,ATG13
441,PMAIP1,1,BAX
442,PRKCI,-1,BAD
443,MAPK8,-1,BCL2
444,DAPK1,1,PRKD1
445,MIB1,-1,DAPK1
446,DAPK1,1,BECN1
447,DAPK1,-1,STX1A
448,DAPK1,-1,RPS6
449,BBC3,-1,BCL2A1
450,BBC3,1,BAX
451,HRK,-1,BCL2L1
452,HRK,-1,BCL2
453,RHEB,-1,FKBP8
454,FKBP8,-1,MTOR
455,PMAIP1,-1,BCL2A1
456,PRKCZ,-1,FADD
457,PIDD1,1,CASP2
458,PIDD1,1,IKBKG
459,RPS6KA3,1,RPTOR
460,FAS,1,CASP8AP2
461,RPS6KA1,1,RPTOR
462,CASP8AP2,1,CASP8
463,MAP2K1,1,MAPK3
464,MAPK3,1,RPS6KA3
465,MAPK1,1,RPS6KA1
466,DAPK3,1,MYL9
467,MAPK1,1,RPS6KA3
468,MAPK1,1,DAPK1
469,SRC,-1,DAPK1
470,PTPRF,1,DAPK1
471,DAPK1,1,DAPK3
472,DAPK1,-1,TSC2
473,MAPK3,1,DAPK1
474,HSP90AA1,1,DAPK1
475,NEO1,1,DAPK1
476,RRAS,1,RAF1
477,UNC5B,1,DAPK1
478,RPS6KA1,-1,DAPK1
479,RPS6KA3,-1,DAPK1
480,RAF1,1,MAP2K1
481,GSN,1,ACTG1
482,DAPK3,1,NR3C1
483,DAPK3,1,PPP1R14A
484,DAPK3,-1,PPP1R12A
485,CTNNB1,-1,DAPK2
486,DAPK3,1,AR
487,ROCK1,1,DAPK3
488,PPP1R14A,-1,PPP1CA
489,DAPK1,-1,TLN1
490,TLN1,1,ITGB1
491,DAPK1,-1,ITGA3
492,DAPK1,1,CDKN2A
493,SMAD4,1,DAPK1
494,SMAD3,1,DAPK1
495,STAT3,1,WNT5A
496,ATM,1,MDC1
497,TP53,1,AIFM2
498,TP53,-1,ANLN
499,TP53,-1,ABCB1
500,TP53,1,ACTA2
501,TP53,1,ARID3A
502,TP53,1,ADGRB1
503,TP53,-1,APC
504,ELAVL1,1,SIRT1
505,CHEK2,1,ELAVL1
506,E2F3,1,CCNB1
507,CHEK1,1,WEE1
508,E2F1,1,EED
509,WNT5A,1,FZD2
510,PUF60,-1,MYC
511,PUF60,-1,FUBP1
512,AKT1,-1,CDKN1A
513,FUBP1,1,MYC
514,E2F3,1,CDKN2A
515,E2F4,-1,CLSPN
516,E2F2,1,CDKN2A
517,E2F1,1,CDT1
518,E2F1,1,CDKN2A
519,E2F2,1,PCNA
520,E2F6,-1,BRCA1
521,E2F6,-1,CBX5
522,UBE2T,1,FANCI
523,TP53,-1,DNMT1
524,UBE2T,1,FANCD2
525,TP53,1,EGFR
526,MAPKAPK2,-1,CDC25A
527,TP53,1,EPHA2
528,CHEK1,-1,CDC25B
529,TP53,1,EDN2
530,MAPKAPK2,-1,CDC25C
531,TP53,1,EEF1A1
532,MAPKAPK2,-1,CDC25B
533,TP53,1,HTT
534,TP53,1,GPX1
535,TP53,1,GML
536,TP53,1,FANCC
537,TP53,1,HGF
538,ATM,1,SLX4
539,STAT1,1,FAS
540,STAT1,1,CDKN1A
541,NFE2L2,1,PRDX1
542,ATM,1,BID
543,KDM2B,1,PRDX4
544,KDM2B,1,NQO1
545,ATR,1,RBBP8
546,ATR,1,FANCI
547,E2F1,1,APAF1
548,CDK1,1,E2F1
549,E2F2,1,EED
550,MTOR,1,EIF4EBP3
551,MTOR,-1,EIF4EBP2
552,MAPKAPK2,-1,TSC1
553,TP53,1,BDKRB2
554,TP53,1,BID
555,MAP3K8,1,MAP3K14
556,IKBKB,-1,TSC1
557,TP53,1,BCL2L14
558,MAP3K8,1,MAP2K4
559,AKT1,-1,RICTOR
560,EIF4EBP2,-1,EIF4E
561,EIF4EBP1,-1,EIF4E
562,MTOR,-1,EIF4EBP1
563,EIF4EBP3,1,EIF4E
564,TP53,1,CCNK
565,BCL10,1,IKBKG
566,TP53,1,CASP6
567,TP53,1,CASP10
568,TP53,1,CASP1
569,MAP3K14,1,IKBKB
570,TP53,1,RGCC
571,TP53,1,BNIP3L
572,TP53,-1,BIRC5
573,TNIP1,1,IKBKG
574,E2F2,1,EZH2
575,E2F1,1,DBF4
576,CCNA2,1,E2F1
577,IL22,1,IL10RB
578,TP53,1,CD82
579,EPO,1,EPOR
580,TP53,-1,CDC25C
581,MAPKAPK2,-1,TSC2
582,TP53,1,CHMP4C
583,TP53,1,COL18A1
584,JAK2,1,STAT3
585,TP53,1,DKK1
586,TP53,1,DDR1
587,KSR2,-1,MAP3K8
588,CHEK2,1,TP53
589,NFKB1,-1,MAP3K8
590,TP53,1,CTSD
591,ATM,1,STK11
592,TP53,-1,CRYZ
593,TP53,1,DDIT4
594,HIPK2,1,TP53
595,TP53,1,CX3CL1
596,ATM,1,PPP2R5D
597,ATM,1,PPP2R5C
598,CASP1,-1,GAPDH
599,CXCL16,1,CXCR6
600,CASP1,1,IL37
601,CASP1,1,CASP7
602,GTF2I,1,CCND1
603,KLKB1,1,PRKAG1
604,CASP1,1,IL33
605,CCL3L3,1,CCR5
606,ASF1A,1,CHAF1B
607,TNFSF10,1,TNFRSF10C
608,MAP3K7,1,IKBKB
609,STK11,1,PRKAG1
610,ASF1B,1,CHAF1B
611,TNFRSF10A,1,TNFRSF10B
612,KAT8,1,HIST1H4J
613,PARP1,-1,SUPT16H
614,TNFRSF10A,1,RIPK1
615,TNFRSF10B,1,RIPK1
616,NMI,1,STAT1
617,KRT18,-1,TRADD
618,MYC,-1,PMAIP1
619,ATM,1,ABL1
620,TNFRSF10A,1,TRADD
621,TNFRSF10B,1,TRADD
622,BIRC2,-1,TRAF2
623,IRF1,1,ISG20
624,STAT1,1,SOCS1
625,IL10,1,IL10RA
626,NLRP1,1,CASP5
627,CASP1,1,FGF2
628,CASP1,-1,PYCARD
629,CARD18,-1,CASP1
630,IRF1,1,NOS2
631,ISG15,1,JAK1
632,CARD16,-1,CASP1
633,JAK1,1,IRS1
634,CASP1,1,IL1A
635,JAK1,1,IRS2
636,CASP1,1,SREBF2
637,INSR,1,IRS2
638,ATF2,1,MMP2
639,E2F1,1,TP53INP1
640,TP53,1,FDXR
641,STAT1,1,CDKN1B
642,CASP1,-1,ENO1
643,TRAF2,1,MAP3K14
644,ABL1,1,STAT1
645,IFIH1,1,MAVS
646,TP53,1,TIGAR
647,CASP1,-1,TPI1
648,TP73,1,TP53INP1
649,NOD2,1,MAP3K14
650,PRKDC,1,CASP2
651,ABL1,1,TOP1
652,PIDD1,1,PRKDC
653,STAT1,-1,MYC
654,ANO9,1,STAT1
655,STAT1,1,IRF1
656,CASP1,-1,ALDOA
657,EIF2AK2,1,STAT1
658,TICAM1,1,RIPK1
659,TICAM1,1,TBK1
660,TICAM1,1,IKBKE
661,IFNG,1,IFNGR1
662,IRF7,1,IFNB1
663,IRF3,1,IFIT1
664,IRF3,1,CCL5
665,DAPK1,1,TPM1
666,MAP1B,1,DAPK1
667,DAPK1,1,MAP1B
668,ATM,1,SMC3
669,E2F1,1,DAPK2
670,EPO,1,DAPK2
671,DAPK3,1,CDKN1A
672,ZDHHC9,1,HRAS
673,ZDHHC9,1,NRAS
674,KLF6,1,DAPK2
675,IGF2,1,IGF2R
676,FLT3LG,1,FLT3
677,KITLG,1,KIT
678,IGF2,1,IGF1R
679,ATM,1,STRAP
680,SMG1,1,TP53
681,CHEK2,1,STRAP
682,TLR4,1,TIRAP
683,KAT2B,1,HIST1H3C
684,TLR4,1,TICAM2
685,TICAM2,1,TICAM1
686,TRAF6,1,MAP3K7
687,TICAM1,1,TRAF6
688,TLR3,1,TICAM1
689,MYD88,1,IRAK4
690,ATG14,1,BECN1
691,SIRT2,-1,FOXO1
692,FOXO1,1,ATG7
693,RUBCN,-1,BECN1
694,CARD8,-1,CASP9
695,CARD8,-1,APAF1
696,SERPINB9,-1,CASP1
697,CASP1,-1,CARD8
698,DAPK3,1,MYL12A
699,DAPK1,1,MYL12A
700,ROCK1,1,MYL12A
701,TP53,-1,BCL2
702,CFLAR,-1,ATG3
703,DAPK3,1,MYL5
704,RPS6KA3,-1,BAD
705,CASP3,-1,EIF2S2
706,RPS6KB1,1,RPS6
707,DAPK1,-1,BCL2
708,CDK1,1,BIRC5
709,CASP3,-1,EIF2S3
710,TP53,1,TYRP1
711,GAPDH,-1,RHEB
712,TP53,-1,UBD
713,TP53,1,VCAN
714,TP53,1,VDR
715,TP53,1,TRIAP1
716,TP53,1,TRIM22
717,TP53,1,TSC2
718,TP53,-1,TRPM2
719,AKT1,-1,ITPR1
720,GAPDH,1,APEX1
721,CAMKK1,1,CRMP1
722,GAPDH,1,POU2F1
723,POU2F1,1,HIST1H2BJ
724,SFPQ,1,NONO
725,NONO,1,TOP1
726,APLF,1,PARP1
727,ATM,-1,TRIM28
728,CHEK1,1,RAD51
729,NOS1,-1,NFKBIA
730,GSK3B,-1,GYS1
731,PPP1R3A,1,GYS1
732,GSK3B,1,AXIN1
733,CSNK1A1,-1,PRKN
734,E2F7,-1,SP1
735,GSK3B,1,LRP6
736,USP1,-1,FANCD2
737,MAPK8,-1,YWHAZ
738,BCL2,-1,BECN1
739,CHEK2,-1,CDC25A
740,PLK1,-1,WEE1
741,ATM,1,HMGA2
742,AKT1,1,NOS3
743,ATM,1,HMGA1
744,CDK5,-1,PRKN
745,CSNK1A1,-1,CTNNB1
746,CSNK1A1,-1,CDC25A
747,CHEK1,1,TP53
748,TP53,1,PLAGL1
749,E2F1,1,CASP3
750,TP53,1,ODC1
751,TP53,-1,NOS3
752,TP53,1,PERP
753,TP53,1,P2RX6
754,PPARG,1,KMT5A
755,TP53,1,MMP2
756,E2F1,1,XPC
757,TP53,1,MET
758,TP53,1,NLRC4
759,TP53,1,NDRG1
760,TLX1,1,ALDH1A1
761,ATR,1,E2F1
762,YWHAQ,1,E2F1
763,E2F1,1,YWHAQ
764,E2F1,1,DDB2
765,ATM,-1,MDM2
766,DDX17,1,ESR1
767,DDX17,1,MDM2
768,TP53,1,RB1
769,TP53,1,RABGGTA
770,TP53,1,PYCARD
771,TP53,1,PTEN
772,TP53,1,PRKAB1
773,SGK1,-1,FOXO3
774,TP53,1,PRDM1
775,TP53,1,PPM1J
776,AKT1,-1,FOXO1
777,PLK3,1,TP53
778,E2F1,1,CCNB1
779,E2F1,1,CASP7
780,TP53,1,SERPINE1
781,TP53,1,SERPINB5
782,TP53,1,SFN
783,TP53,1,SESN1
784,TP53,1,RPS27L
785,TP53,1,COP1
786,TP53,1,S100A2
787,TP53,1,SCN3B
788,TP53,-1,SCD
789,TP53,1,TP73
790,GSK3B,-1,CCND1
791,TP53,1,STEAP3
792,TP53,-1,SLC38A2
793,TP53,1,SH2D1A
794,TP53,1,TNFRSF10C
795,TP53,1,TNFRSF10A
796,TP53,1,TGFA
797,TP53,1,TAP1
798,AXIN1,1,MYC
799,GSK3B,-1,MYC
800,CHEK1,-1,CDC25A
801,RPS6KA5,-1,H2AFZ
802,TAF1,1,BCL2L11
803,CREBBP,1,ASAH2B
804,KAT7,1,HIST1H4J
805,KAT7,1,HIST1H3C
806,CASP8,1,CASP6
807,GTF3C4,1,HIST1H3C
808,NCOA1,1,HIST1H4J
809,NCOA1,1,HIST1H3C
810,CDK1,1,CSNK2B
811,MDM2,-1,JMY
812,NCOA3,1,HIST1H3C
813,DYRK2,1,TP53
814,TBK1,1,IRF7
815,RUNX1,1,IER3
816,MAVS,1,TBK1
817,NCOA2,1,HIST1H3C
818,NCOA3,1,HIST1H4J
819,TLR5,1,MYD88
820,RIPK2,1,BCL10
821,KDM3A,1,HIST1H3C
822,CLOCK,1,HIST1H3C
823,NCOA2,1,HIST1H4J
824,KDM4B,-1,HIST1H3C
825,KDM4A,-1,BCL2L11
826,ATR,1,RFWD3
827,TNFRSF10A,1,FADD
828,BAK1,1,AIFM1
829,HIF1A,1,TP53
830,CSNK2B,1,TP53
831,ABL1,1,WASL
832,APIP,-1,APAF1
833,ESCO1,1,KDM1A
834,TNFAIP3,-1,IKBKG
835,ABL1,-1,YTHDC1
836,CASP1,1,IL1B
837,ABL1,1,ZDHHC16
838,XPC,1,DDB1
839,CASP1,1,IL18
840,ESCO1,1,RAD21
841,ABL2,1,WASL
842,ABL1,-1,WRN
843,CAPNS1,1,CAPN2
844,XRCC5,1,DDB2
845,PIK3R4,1,PIK3C3
846,KMT2D,1,RELB
847,KMT2D,1,HIST1H3C
848,CARM1,1,RELB
849,BID,1,BAK1
850,BID,1,BAX
851,ATM,-1,PLK1
852,DIABLO,-1,XIAP
853,PRMT6,-1,THBS1
854,ATR,-1,PLK1
855,WEE1,-1,CDK1
856,KMT5B,-1,HIST1H4J
857,XRCC5,1,ATRIP
858,KMT2A,1,RELB
859,PPM1A,-1,PRKAG1
860,MBD1,1,SETDB1
861,MAPKAPK2,-1,HSPB1
862,E2F1,1,HIC1
863,SMARCA4,1,HIC1
864,RNF8,1,RNF168
865,SOCS3,-1,TRAF6
866,SOCS3,-1,MAPK8IP1
867,MAP2K2,1,MAPK3
868,MAPK8,1,BMF
869,MAPK8,-1,IRS1
870,CASP5,1,IL18
871,CASP5,1,IL1B
872,MAPK8,1,BAX
873,MAP2K1,1,MAPK1
874,AKT1,-1,TBC1D1
875,AKT1,-1,TBC1D4
876,PPM1D,-1,ATM
877,PARP1,1,XRCC1
878,PARP1,1,APTX
879,HSP90AA1,1,SMYD2
880,SMYD2,-1,TP53
881,SETD1A,1,BCL2L11
882,CXCL9,1,CXCR3
883,SETD2,1,HIST1H3C
884,CCL5,1,CCR5
885,CCL8,1,CCR5
886,SMYD2,1,HIST1H3C
887,CCL4,1,CCR5
888,IL6,1,IL6ST
889,MAVS,1,IKBKB
890,KMT2E,1,HIST1H3C
891,PARP1,1,HIST1H1A
892,RIOX1,-1,SP7
893,FKBP8,1,BCL2L1
894,FKBP8,-1,BCL2
895,TP53,-1,RECQL4
896,MYC,1,RIOX2
897,GSK3A,-1,BCL3
898,CTBP1,-1,ELK3
899,SETD7,1,HIST1H3C
900,PPM1D,-1,CHEK2
901,PRDM2,-1,HIST1H3C
902,DOT1L,1,HIST1H3C
903,KMT5A,-1,HIST1H4J
904,DIABLO,-1,BIRC2
905,ATG16L1,1,CLTC
906,DIABLO,-1,BIRC3
