Gene	Score (Experiment_1)	adj p-val (Experiment_1)	Overlap (Experiment_1)	Percent Overlap (Experiment_1)	Score (Experiment_2)	adj p-val (Experiment_2)	Overlap (Experiment_2)	Percent Overlap (Experiment_2)	Score (Experiment_3)	adj p-val (Experiment_3)	Overlap (Experiment_3)	Percent Overlap (Experiment_3)
Csnk2a1	-0.1985583030282235	0.45821049958499493	['Q61686_S11', 'P83917_S89', 'Q18PE0_S347', 'Q923E4_S683', 'Q923E4_S154', 'Q923E4_S164', 'P42582_S163', 'O54943_S697', 'P49443_S375', 'P09803_S855', 'P53564_S972', 'Q18PE0_S346', 'P52927_S101', 'P06800_S994', 'Q61699_S509', 'O88572_S1579', 'Q61686_S14', 'O70468_S327', 'P52946_T231', 'P06800_S998', 'P09803_S840', 'O88508_S386', 'Q9CXW3_T184', 'O70468_T50', 'Q03267_S101', 'Q02067_S150', 'P35922_S499', 'P97461_S34', 'Q60997_T2073', 'P58771_S283', 'P26361_S670', 'P97461_S24', 'P97445_S2363', 'Q18PE0_S265', 'Q923E4_S649', 'P06837_S192', 'Q03267_S293', 'P53564_S1155', 'O70480_S30', 'Q9CVD2_S29', 'P70444_T58', 'P27699_S156', 'P52927_S100', 'Q9WTL8_S97', 'P06876_S12']	32.846715328467155	-0.076756948604014	0.47125925381349953	['Q61686_S11', 'P83917_S89', 'Q18PE0_S347', 'Q923E4_S683', 'Q923E4_S154', 'Q923E4_S164', 'P42582_S163', 'O54943_S697', 'P49443_S375', 'P09803_S855', 'P53564_S972', 'Q18PE0_S346', 'P52927_S101', 'P06800_S994', 'Q61699_S509', 'O88572_S1579', 'Q61686_S14', 'O70468_S327', 'P52946_T231', 'P06800_S998', 'P09803_S840', 'O88508_S386', 'Q9CXW3_T184', 'O70468_T50', 'Q03267_S101', 'Q02067_S150', 'P35922_S499', 'P97461_S34', 'Q60997_T2073', 'P58771_S283', 'P26361_S670', 'P97461_S24', 'P97445_S2363', 'Q18PE0_S265', 'Q923E4_S649', 'P06837_S192', 'Q03267_S293', 'P53564_S1155', 'O70480_S30', 'Q9CVD2_S29', 'P70444_T58', 'P27699_S156', 'P52927_S100', 'Q9WTL8_S97', 'P06876_S12']	32.846715328467155	0.0	0.3609087740728586	['Q61686_S11', 'P83917_S89', 'Q18PE0_S347', 'Q923E4_S683', 'Q923E4_S154', 'Q923E4_S164', 'P42582_S163', 'O54943_S697', 'P49443_S375', 'P09803_S855', 'P53564_S972', 'Q18PE0_S346', 'P52927_S101', 'P06800_S994', 'Q61699_S509', 'O88572_S1579', 'Q61686_S14', 'O70468_S327', 'P52946_T231', 'P06800_S998', 'P09803_S840', 'O88508_S386', 'Q9CXW3_T184', 'O70468_T50', 'Q03267_S101', 'Q02067_S150', 'P35922_S499', 'P97461_S34', 'Q60997_T2073', 'P58771_S283', 'P26361_S670', 'P97461_S24', 'P97445_S2363', 'Q18PE0_S265', 'Q923E4_S649', 'P06837_S192', 'Q03267_S293', 'P53564_S1155', 'O70480_S30', 'Q9CVD2_S29', 'P70444_T58', 'P27699_S156', 'P52927_S100', 'Q9WTL8_S97', 'P06876_S12']	32.846715328467155
Egfr	-0.17178860030443566	0.45821049958499493	['Q9QYY0_Y473', 'P57780_Y32', 'Q9QYY0_Y590', 'Q01279_Y1069', 'Q91V17_Y103', 'Q9QYY0_Y407', 'Q01279_Y1197', 'O70161_Y634']	38.095238095238095	0.2964535187354543	0.47125925381349953	['Q9QYY0_Y473', 'P57780_Y32', 'Q9QYY0_Y590', 'Q01279_Y1069', 'Q91V17_Y103', 'Q9QYY0_Y407', 'Q01279_Y1197', 'O70161_Y634']	38.095238095238095	0.0	0.3609087740728586	['Q9QYY0_Y473', 'P57780_Y32', 'Q9QYY0_Y590', 'Q01279_Y1069', 'Q91V17_Y103', 'Q9QYY0_Y407', 'Q01279_Y1197', 'O70161_Y634']	38.095238095238095
Fyn	-0.03401169369132121	0.45821049958499493	['P97318_Y232', 'P11911_Y182', 'Q923U0_Y457', 'P22723_Y411', 'Q9R0Z9_Y702', 'Q923U0_Y392', 'P30999_Y228', 'P09793_Y218', 'Q02248_Y142', 'P22646_Y181', 'Q9WTK7_Y261', 'Q8BM65_Y277', 'Q3UND0_Y260', 'Q80YE4_Y46', 'P15530_Y195', 'P30999_Y112', 'Q9QX11_Y382', 'Q9CQW9_Y27', 'Q9WTK7_Y365', 'P22723_Y413', 'Q80W68_Y637']	33.87096774193548	-0.3535829398850513	0.3742910254054137	['P97318_Y232', 'P11911_Y182', 'Q923U0_Y457', 'P22723_Y411', 'Q9R0Z9_Y702', 'Q923U0_Y392', 'P30999_Y228', 'P09793_Y218', 'Q02248_Y142', 'P22646_Y181', 'Q9WTK7_Y261', 'Q8BM65_Y277', 'Q3UND0_Y260', 'Q80YE4_Y46', 'P15530_Y195', 'P30999_Y112', 'Q9QX11_Y382', 'Q9CQW9_Y27', 'Q9WTK7_Y365', 'P22723_Y413', 'Q80W68_Y637']	33.87096774193548	0.0	0.3609087740728586	['P97318_Y232', 'P11911_Y182', 'Q923U0_Y457', 'P22723_Y411', 'Q9R0Z9_Y702', 'Q923U0_Y392', 'P30999_Y228', 'P09793_Y218', 'Q02248_Y142', 'P22646_Y181', 'Q9WTK7_Y261', 'Q8BM65_Y277', 'Q3UND0_Y260', 'Q80YE4_Y46', 'P15530_Y195', 'P30999_Y112', 'Q9QX11_Y382', 'Q9CQW9_Y27', 'Q9WTK7_Y365', 'P22723_Y413', 'Q80W68_Y637']	33.87096774193548
Gsk3a	-0.22173354147169988	0.45821049958499493	['O08553_T514', 'P53566_T222', 'Q3TTA7_S476', 'Q60943_T779', 'Q8VI36_S126', 'Q3TTA7_S480', 'Q2TBE6_S47', 'Q99LW6_S166']	50.0	0.015048055714295072	0.4771824813027727	['O08553_T514', 'P53566_T222', 'Q3TTA7_S476', 'Q60943_T779', 'Q8VI36_S126', 'Q3TTA7_S480', 'Q2TBE6_S47', 'Q99LW6_S166']	50.0	0.0	0.3609087740728586	['O08553_T514', 'P53566_T222', 'Q3TTA7_S476', 'Q60943_T779', 'Q8VI36_S126', 'Q3TTA7_S480', 'Q2TBE6_S47', 'Q99LW6_S166']	50.0
Gsk3b	-0.16985735218995532	0.45821049958499493	['Q9ERR1_S332', 'Q8VIM5_S466', 'Q8BKJ9_T256', 'O35927_T1078', 'Q5SW75_S21', 'Q8BGW1_S249', 'Q60591_S215', 'Q9DBD5_T751', 'Q5SW75_S32', 'P28033_T188', 'Q02248_S33', 'P28033_T179', 'P06876_T572', 'Q9QZW9_S78', 'Q8CF90_S61', 'Q7M6Y2_S289', 'O70405_S415', 'Q02248_S29', 'Q8VIM5_S624', 'Q60795_S347', 'Q3TTA7_S476', 'Q62176_S193', 'O35625_S485', 'Q02248_S45', 'Q60943_T779', 'Q9QZW9_S80', 'Q3TTA7_S480', 'P97287_S140', 'P30999_S252', 'O08553_T514', 'P23804_S254', 'Q9R194_S553', 'Q9JHG6_S161', 'Q02248_S37', 'Q9CVD2_S29', 'P15314_S185', 'Q06831_S316']	32.45614035087719	-0.12100422258977665	0.47125925381349953	['Q9ERR1_S332', 'Q8VIM5_S466', 'Q8BKJ9_T256', 'O35927_T1078', 'Q5SW75_S21', 'Q8BGW1_S249', 'Q60591_S215', 'Q9DBD5_T751', 'Q5SW75_S32', 'P28033_T188', 'Q02248_S33', 'P28033_T179', 'P06876_T572', 'Q9QZW9_S78', 'Q8CF90_S61', 'Q7M6Y2_S289', 'O70405_S415', 'Q02248_S29', 'Q8VIM5_S624', 'Q60795_S347', 'Q3TTA7_S476', 'Q62176_S193', 'O35625_S485', 'Q02248_S45', 'Q60943_T779', 'Q9QZW9_S80', 'Q3TTA7_S480', 'P97287_S140', 'P30999_S252', 'O08553_T514', 'P23804_S254', 'Q9R194_S553', 'Q9JHG6_S161', 'Q02248_S37', 'Q9CVD2_S29', 'P15314_S185', 'Q06831_S316']	32.45614035087719	0.1891891891891892	0.4935443137716393	['Q9ERR1_S332', 'Q8VIM5_S466', 'Q8BKJ9_T256', 'O35927_T1078', 'Q5SW75_S21', 'Q8BGW1_S249', 'Q60591_S215', 'Q9DBD5_T751', 'Q5SW75_S32', 'P28033_T188', 'Q02248_S33', 'P28033_T179', 'P06876_T572', 'Q9QZW9_S78', 'Q8CF90_S61', 'Q7M6Y2_S289', 'O70405_S415', 'Q02248_S29', 'Q8VIM5_S624', 'Q60795_S347', 'Q3TTA7_S476', 'Q62176_S193', 'O35625_S485', 'Q02248_S45', 'Q60943_T779', 'Q9QZW9_S80', 'Q3TTA7_S480', 'P97287_S140', 'P30999_S252', 'O08553_T514', 'P23804_S254', 'Q9R194_S553', 'Q9JHG6_S161', 'Q02248_S37', 'Q9CVD2_S29', 'P15314_S185', 'Q06831_S316']	32.45614035087719
Hipk2	0.48264899654886123	0.45821049958499493	['P63015_T281', 'P52946_T214', 'P63015_T304', 'P63015_T373', 'P52946_S269', 'Q9QZR5_Y361']	66.66666666666667	-0.09549457654801319	0.4771824813027727	['P63015_T281', 'P52946_T214', 'P63015_T304', 'P63015_T373', 'P52946_S269', 'Q9QZR5_Y361']	66.66666666666667	0.0	0.3609087740728586	['P63015_T281', 'P52946_T214', 'P63015_T304', 'P63015_T373', 'P52946_S269', 'Q9QZR5_Y361']	66.66666666666667
Ikbkb	0.02447653003008676	0.45821049958499493	['Q04207_S534', 'O88351_S705', 'Q61337_S26', 'Q07174_T290', 'O09044_S120']	27.77777777777778	0.07176697173836503	0.47125925381349953	['Q04207_S534', 'O88351_S705', 'Q61337_S26', 'Q07174_T290', 'O09044_S120']	27.77777777777778	0.0	0.3609087740728586	['Q04207_S534', 'O88351_S705', 'Q61337_S26', 'Q07174_T290', 'O09044_S120']	27.77777777777778
Ikbke	0.05042799597879858	0.45821049958499493	['Q8N7N6_S311', 'Q04207_S534', 'Q80TQ2_S414', 'P42225_S708', 'Q8N7N6_S147', 'P42225_S744']	50.0	-0.2652188309692265	0.47125925381349953	['Q8N7N6_S311', 'Q04207_S534', 'Q80TQ2_S414', 'P42225_S708', 'Q8N7N6_S147', 'P42225_S744']	50.0	0.0	0.3609087740728586	['Q8N7N6_S311', 'Q04207_S534', 'Q80TQ2_S414', 'P42225_S708', 'Q8N7N6_S147', 'P42225_S744']	50.0
Jak2	0.0995663442853821	0.45821049958499493	['Q62120_Y317', 'Q62120_Y940', 'P46414_Y88', 'Q62120_Y966', 'Q62120_Y1007', 'O35718_Y204', 'Q62120_Y1008', 'Q62120_Y913', 'P48985_Y78', 'Q08501_Y532', 'Q62120_Y570', 'P14753_Y455', 'Q62120_Y918', 'P45481_Y1126', 'Q62120_Y221']	45.45454545454545	0.06425456547467799	0.47125925381349953	['Q62120_Y317', 'Q62120_Y940', 'P46414_Y88', 'Q62120_Y966', 'Q62120_Y1007', 'O35718_Y204', 'Q62120_Y1008', 'Q62120_Y913', 'P48985_Y78', 'Q08501_Y532', 'Q62120_Y570', 'P14753_Y455', 'Q62120_Y918', 'P45481_Y1126', 'Q62120_Y221']	45.45454545454545	0.0	0.3609087740728586	['Q62120_Y317', 'Q62120_Y940', 'P46414_Y88', 'Q62120_Y966', 'Q62120_Y1007', 'O35718_Y204', 'Q62120_Y1008', 'Q62120_Y913', 'P48985_Y78', 'Q08501_Y532', 'Q62120_Y570', 'P14753_Y455', 'Q62120_Y918', 'P45481_Y1126', 'Q62120_Y221']	45.45454545454545
Lck	0.10638953858757173	0.45821049958499493	['P24161_Y83', 'P06240_Y394', 'P09793_Y218', 'Q03526_Y517', 'Q9ES52_Y918', 'P24161_Y142']	28.571428571428573	-0.5456556973085209	0.3742910254054137	['P24161_Y83', 'P06240_Y394', 'P09793_Y218', 'Q03526_Y517', 'Q9ES52_Y918', 'P24161_Y142']	28.571428571428573	0.0	0.3609087740728586	['P24161_Y83', 'P06240_Y394', 'P09793_Y218', 'Q03526_Y517', 'Q9ES52_Y918', 'P24161_Y142']	28.571428571428573
